,Price,Year,Make,Model,Kilometres
227,39995,2021,ford,transit cargo van,123000
228,36999,2023,hyundai,santa fe,24441
229,35987,2021,bmw,2 series,69373
230,9888,2017,kia,forte,75294
231,59500,2023,bmw,5 series,14418
232,44194,2021,nissan,titan,29065
233,48752,2023,infiniti,qx60,27537
234,68980,2024,volvo,xc90,3553
235,67990,2023,toyota,supra,11050
236,68888,2024,audi,s5,12400
237,42897,2019,ford,f-250,115896
238,24995,2018,ford,edge,125980
239,97897,2022,bmw,x5 m,48273
240,23997,2022,hyundai,kona,90335
241,25450,2022,honda,civic sedan,85029
242,39995,2021,ford,transit cargo van,123000
243,18985,2015,ford,transit cargo van,193000
244,78995,2024,ram,2500,25
245,32880,2020,audi,a4,39900
246,94771,2024,mercedes-benz,eqe,90
247,41507,2022,volkswagen,atlas cross sport,67706
248,61207,2025,cadillac,ct4-v,13
249,33895,2021,mercedes-benz,gla,43550
250,37850,2015,mercedes-benz,m-class,111822
251,27990,2020,ford,explorer,151221
252,31914,2019,audi,q7,105046
253,33912,2022,jeep,compass,31832
254,64995,2024,kia,ev6,90
255,42394,2025,kia,niro,10
256,47645,2024,mazda,cx-5,9015
257,32449,2019,ford,f-150,185298
258,64995,2024,ford,bronco,13291
259,31995,2018,chrysler,pacifica,84034
260,48495,2023,volkswagen,atlas,46590
261,37888,2021,mazda,cx-9,52877
262,41977,2019,toyota,tundra,136515
263,39999,2024,hyundai,santa cruz,13031
264,28999,2023,kia,sportage,44341
265,38000,2023,nissan,murano,42002
266,63999,2021,lincoln,navigator,79585
267,29900,2022,dodge,charger,77898
268,39510,2024,toyota,prius,16
269,45178,2024,nissan,murano,0
270,499987,2023,ferrari,296 gtb,2528
271,14790,2015,audi,a4,169207
272,52995,2021,lincoln,aviator,73152
273,17995,2016,honda,civic sedan,119110
274,39995,2021,volvo,xc90,90046
275,33998,2024,nissan,rogue,9985
276,29895,2019,volkswagen,arteon,46918
277,37780,2019,chevrolet,tahoe,136281
278,87670,2024,ford,f-350,23
279,49489,2022,ram,1500,88746
280,41778,2022,ford,f-150,94091
281,41995,2021,jeep,grand cherokee l,45822
282,32995,2023,chevrolet,silverado 1500,27000
283,63368,2023,ford,f-150,44721
284,16999,2019,chevrolet,malibu,130475
285,23995,2021,kia,seltos,40110
286,35445,2024,volkswagen,jetta gli,90
287,126900,2024,gmc,hummer ev suv,14058
288,39985,2021,honda,pilot,66457
289,35536,2019,nissan,armada,60633
290,17489,2020,hyundai,elantra,66721
291,32495,2023,ford,escape,15825
292,63000,2019,chevrolet,corvette,16075
293,67000,2022,audi,s5,20553
294,47803,2021,gmc,sierra 1500,109633
295,31995,2020,nissan,pathfinder,29522
296,65144,2024,kia,ev6,33
297,18985,2015,ford,transit cargo van,193000
298,46918,2024,mazda,cx-5,90
299,78995,2024,ram,2500,25
300,17888,2012,acura,mdx,196501
301,267800,2022,porsche,911,3315
302,58812,2023,ford,transit cargo van,37243
303,31999,2022,ford,mustang mach-e,57177
304,13688,2017,kia,sorento,165958
305,42880,2018,land rover,range rover sport,80853
306,14999,2015,volvo,s60,86500
307,62998,2024,bmw,2 series,11500
308,85947,2024,chevrolet,silverado ev,35
309,68995,2021,chevrolet,tahoe,37383
310,24888,2018,jeep,renegade,67710
311,64771,2023,ford,f-150,19553
312,59990,2022,bmw,5 series,9268
313,33460,2017,ram,1500,82759
314,26995,2019,gmc,terrain,46031
315,38990,2018,chevrolet,camaro,33000
316,42434,2023,ford,escape,22
317,43499,2021,toyota,highlander,69578
318,39991,2023,toyota,rav4,44646
319,63820,2025,infiniti,qx60,25
